locus_tag	ftype	gene	EC_number	product
PALMKOPA_00122	CDS	cpdA_1	3.1.4.53	"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA"
PALMKOPA_00123	CDS	hypothetical protein		
PALMKOPA_00124	CDS	yutF	3.1.3.-	Acid sugar phosphatase
PALMKOPA_00125	CDS	hypothetical protein		
PALMKOPA_00126	CDS	putative membrane protein		
PALMKOPA_00127	CDS	vioD_1	4.2.1.145	Capreomycidine synthase
PALMKOPA_00128	CDS	tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB	
PALMKOPA_00129	CDS	rimI	2.3.1.255	N-alpha-acetyltransferase RimI
PALMKOPA_00130	CDS	tsaD	2.3.1.234	tRNA N6-adenosine threonylcarbamoyltransferase
PALMKOPA_00131	CDS	hypothetical protein		
PALMKOPA_00132	CDS	fabZ_1	4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PALMKOPA_00133	CDS	hypothetical protein		
PALMKOPA_00134	CDS	fabH	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3
PALMKOPA_00135	CDS	acpP_1	Acyl carrier protein	
PALMKOPA_00136	CDS	fabD	2.3.1.39	Malonyl CoA-acyl carrier protein transacylase
PALMKOPA_00137	CDS	fabG	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
PALMKOPA_00138	CDS	fabF	2.3.1.179	3-oxoacyl-[acyl-carrier-protein] synthase 2
PALMKOPA_00139	CDS	accB_1	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
PALMKOPA_00140	CDS	fabZ_2	4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
PALMKOPA_00141	CDS	accC_1	6.3.4.14	Biotin carboxylase
PALMKOPA_00142	CDS	accD	6.4.1.2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
PALMKOPA_00143	CDS	accA	6.4.1.2	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PALMKOPA_00144	CDS	fabI	1.3.1.39	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
PALMKOPA_00145	CDS	bioY	Biotin transporter BioY	
PALMKOPA_00146	CDS	birA	6.3.4.15	Bifunctional ligase/repressor BirA
PALMKOPA_00147	CDS	yheS	putative ABC transporter ATP-binding protein YheS	
PALMKOPA_00148	CDS	rex	Redox-sensing transcriptional repressor Rex	
PALMKOPA_00149	CDS	groS	10 kDa chaperonin	
PALMKOPA_00150	CDS	groL	60 kDa chaperonin	
PALMKOPA_00151	CDS	hypothetical protein		
PALMKOPA_00152	CDS	hypothetical protein		
PALMKOPA_00153	CDS	yigZ	IMPACT family member YigZ	
PALMKOPA_00154	CDS	comFA	3.6.4.12	ComF operon protein 1
PALMKOPA_00155	CDS	pyrE_1	2.4.2.10	Orotate phosphoribosyltransferase
PALMKOPA_00156	CDS	hpf	Ribosome hibernation promotion factor	
PALMKOPA_00157	CDS	secA	Protein translocase subunit SecA	
PALMKOPA_00158	CDS	prfB	Peptide chain release factor 2	
PALMKOPA_00159	CDS	hypothetical protein		
PALMKOPA_00160	CDS	hypothetical protein		
PALMKOPA_00161	CDS	hprK	2.7.11.-	HPr kinase/phosphorylase
PALMKOPA_00162	CDS	lgt	2.4.99.-	Prolipoprotein diacylglyceryl transferase
PALMKOPA_00163	CDS	gpsA	1.1.1.94	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PALMKOPA_00164	CDS	gtaB	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
PALMKOPA_00165	CDS	3.5.1.111	2-oxoglutaramate amidase	
PALMKOPA_00166	CDS	dapL	2.6.1.83	LL-diaminopimelate aminotransferase
PALMKOPA_00167	CDS	panE	1.1.1.169	putative 2-dehydropantoate 2-reductase
PALMKOPA_00168	CDS	hypothetical protein		
PALMKOPA_00169	CDS	trxB_1	1.8.1.9	Thioredoxin reductase
PALMKOPA_00170	CDS	cysE	2.3.1.30	Serine O-acetyltransferase
PALMKOPA_00171	CDS	cysK	2.5.1.47	Cysteine synthase
PALMKOPA_00172	CDS	ilvE_1	2.6.1.42	Branched-chain-amino-acid aminotransferase
PALMKOPA_00173	CDS	1.1.1.-	L-2-hydroxyisocaproate dehydrogenase	
PALMKOPA_00174	CDS	yidA_1	3.1.3.23	Sugar phosphatase YidA
PALMKOPA_00175	CDS	pgcA_1	5.4.2.2	Phosphoglucomutase
PALMKOPA_00176	CDS	pgcA_2	5.4.2.2	Phosphoglucomutase
PALMKOPA_00177	CDS	yfbR	3.1.3.89	5'-deoxynucleotidase YfbR
PALMKOPA_00178	CDS	hypothetical protein		
PALMKOPA_00179	CDS	uvrB	UvrABC system protein B	
PALMKOPA_00180	CDS	uvrA	UvrABC system protein A	
PALMKOPA_00181	CDS	hypothetical protein		
PALMKOPA_00182	CDS	yvcJ	Nucleotide-binding protein YvcJ	
PALMKOPA_00183	CDS	Putative gluconeogenesis factor		
PALMKOPA_00184	CDS	whiA	Putative sporulation transcription regulator WhiA	
PALMKOPA_00185	CDS	tenA	3.5.99.2	Aminopyrimidine aminohydrolase
PALMKOPA_00186	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
PALMKOPA_00187	CDS	hypothetical protein		
PALMKOPA_00188	tRNA	tRNA-Arg(ccg)		
PALMKOPA_00189	tRNA	tRNA-Leu(cag)		
PALMKOPA_00190	CDS	hypothetical protein		
PALMKOPA_00191	CDS	hypothetical protein		
PALMKOPA_00192	CDS	gmk_1	2.7.4.8	Guanylate kinase
PALMKOPA_00193	CDS	rpoZ	2.7.7.6	DNA-directed RNA polymerase subunit omega
PALMKOPA_00194	CDS	coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	
PALMKOPA_00195	CDS	priA	3.6.4.-	Primosomal protein N'
PALMKOPA_00196	CDS	fmt	2.1.2.9	Methionyl-tRNA formyltransferase
PALMKOPA_00197	CDS	rsmB	2.1.1.176	Ribosomal RNA small subunit methyltransferase B
PALMKOPA_00198	CDS	3.1.3.16	Putative protein phosphatase 2C-type	
PALMKOPA_00199	CDS	prkC	2.7.11.1	Serine/threonine-protein kinase PrkC
PALMKOPA_00200	CDS	rsgA	3.6.1.-	Small ribosomal subunit biogenesis GTPase RsgA
PALMKOPA_00201	CDS	rpe	5.1.3.1	Ribulose-phosphate 3-epimerase
PALMKOPA_00202	CDS	thiN	2.7.6.2	Thiamine pyrophosphokinase
PALMKOPA_00203	CDS	rpmB	50S ribosomal protein L28	
PALMKOPA_00204	CDS	hypothetical protein		
PALMKOPA_00205	CDS	hypothetical protein		
PALMKOPA_00206	CDS	recG	3.6.4.12	ATP-dependent DNA helicase RecG
PALMKOPA_00207	CDS	plsX	2.3.1.-	Phosphate acyltransferase
PALMKOPA_00208	CDS	acpP_2	Acyl carrier protein	
PALMKOPA_00209	CDS	rnc	3.1.26.3	Ribonuclease 3
PALMKOPA_00210	CDS	smc_2	Chromosome partition protein Smc	
PALMKOPA_00211	CDS	ftsY	Signal recognition particle receptor FtsY	
PALMKOPA_00212	CDS	hypothetical protein		
PALMKOPA_00213	CDS	ffh	Signal recognition particle protein	
PALMKOPA_00214	CDS	hypothetical protein		
PALMKOPA_00215	CDS	hypothetical protein		
PALMKOPA_00216	CDS	hypothetical protein		
PALMKOPA_00217	CDS	phoP_1	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	
PALMKOPA_00218	CDS	pstS1	Phosphate-binding protein PstS 1	
PALMKOPA_00219	CDS	pstC1	Phosphate transport system permease protein PstC 1	
PALMKOPA_00220	CDS	pstA	Phosphate transport system permease protein PstA	
PALMKOPA_00221	CDS	pstB3_1	3.6.3.27	Phosphate import ATP-binding protein PstB 3
PALMKOPA_00222	CDS	phoU	Phosphate-specific transport system accessory protein PhoU 	
PALMKOPA_00223	CDS	rpsP	30S ribosomal protein S16	
PALMKOPA_00224	CDS	hypothetical protein		
PALMKOPA_00225	CDS	rimM	Ribosome maturation factor RimM	
PALMKOPA_00226	CDS	trmD	2.1.1.228	tRNA (guanine-N(1)-)-methyltransferase
PALMKOPA_00227	CDS	yhdG_1	putative amino acid permease YhdG	
PALMKOPA_00228	CDS	rplS	50S ribosomal protein L19	
PALMKOPA_00229	CDS	cas3	3.1.-.-	CRISPR-associated nuclease/helicase Cas3
PALMKOPA_00230	CDS	hypothetical protein		
PALMKOPA_00231	CDS	hypothetical protein		
PALMKOPA_00232	CDS	casC	CRISPR system Cascade subunit CasC	
PALMKOPA_00233	CDS	casD	CRISPR system Cascade subunit CasD	
PALMKOPA_00234	CDS	cse3	3.1.-.-	CRISPR-associated endoribonuclease Cse3
PALMKOPA_00235	CDS	ygbT	3.1.-.-	CRISPR-associated endonuclease Cas1
PALMKOPA_00236	CDS	polC_1	2.7.7.7	DNA polymerase III PolC-type
PALMKOPA_00237	CDS	hypothetical protein		
PALMKOPA_00238	CDS	hypothetical protein		
PALMKOPA_00239	CDS	hypothetical protein		
PALMKOPA_00240	CDS	pyrB	2.1.3.2	Aspartate carbamoyltransferase
PALMKOPA_00241	CDS	pyrC	3.5.2.3	Dihydroorotase
PALMKOPA_00242	CDS	carA_1	6.3.5.5	Carbamoyl-phosphate synthase small chain
PALMKOPA_00243	CDS	carB_1	6.3.5.5	Carbamoyl-phosphate synthase large chain
PALMKOPA_00244	CDS	carB_2	6.3.5.5	Carbamoyl-phosphate synthase large chain
PALMKOPA_00245	CDS	pyrDB	1.3.1.14	"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit"
PALMKOPA_00246	CDS	nfdA	3.5.1.91	N-substituted formamide deformylase
PALMKOPA_00247	CDS	1.1.1.-	L-2-hydroxyisocaproate dehydrogenase	
PALMKOPA_00248	CDS	pspA_1	3.1.3.3	Phosphoserine phosphatase 1
PALMKOPA_00249	CDS	hypothetical protein		
PALMKOPA_00250	CDS	recD2	3.6.4.12	ATP-dependent RecD-like DNA helicase
PALMKOPA_00251	CDS	prs_1	2.7.6.1	Ribose-phosphate pyrophosphokinase
PALMKOPA_00252	CDS	spxA_1	Regulatory protein Spx	
PALMKOPA_00253	CDS	ytlR	2.7.1.-	Putative lipid kinase YtlR
PALMKOPA_00254	CDS	hypothetical protein		
PALMKOPA_00255	CDS	hypothetical protein		
PALMKOPA_00256	CDS	def_1	3.5.1.88	Peptide deformylase
PALMKOPA_00257	CDS	hypothetical protein		
PALMKOPA_00258	CDS	suhB	3.1.3.11	"Fructose-1,6-bisphosphatase/inositol-1-monophosphatase"
PALMKOPA_00259	CDS	typA	GTP-binding protein TypA/BipA	
PALMKOPA_00260	CDS	ftsW	2.4.1.129	putative peptidoglycan glycosyltransferase FtsW
PALMKOPA_00261	CDS	hypothetical protein		
PALMKOPA_00262	CDS	rsmD	2.1.1.171	Ribosomal RNA small subunit methyltransferase D
PALMKOPA_00263	CDS	coaD	2.7.7.3	Phosphopantetheine adenylyltransferase
PALMKOPA_00264	CDS	lon	3.4.21.53	Lon protease
PALMKOPA_00265	CDS	comEA	ComE operon protein 1	
PALMKOPA_00266	CDS	tadA_1	3.5.4.33	tRNA-specific adenosine deaminase
PALMKOPA_00267	CDS	comEC	ComE operon protein 3	
PALMKOPA_00268	CDS	hypothetical protein		
PALMKOPA_00269	CDS	rpsT	30S ribosomal protein S20	
PALMKOPA_00270	CDS	rpsO	30S ribosomal protein S15	
PALMKOPA_00271	CDS	gshAB_1	Glutathione biosynthesis bifunctional protein GshAB	
PALMKOPA_00272	CDS	rnj2	3.1.-.-	Ribonuclease J 2
PALMKOPA_00273	CDS	hypothetical protein		
PALMKOPA_00274	CDS	tuf	Elongation factor Tu	
PALMKOPA_00275	CDS	tig	5.2.1.8	Trigger factor
PALMKOPA_00276	CDS	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	
PALMKOPA_00277	CDS	engB	putative GTP-binding protein EngB	
PALMKOPA_00278	CDS	hypothetical protein		
PALMKOPA_00279	CDS	hypothetical protein		
PALMKOPA_00280	CDS	artM_1	Arginine transport ATP-binding protein ArtM	
PALMKOPA_00281	CDS	uvrC	UvrABC system protein C	
PALMKOPA_00282	CDS	obg	3.6.5.-	GTPase Obg
PALMKOPA_00283	CDS	rnz	3.1.26.11	Ribonuclease Z
PALMKOPA_00284	CDS	1.-.-.-	putative oxidoreductase	
PALMKOPA_00285	CDS	recJ	3.1.-.-	Single-stranded-DNA-specific exonuclease RecJ
PALMKOPA_00286	CDS	apt	2.4.2.7	Adenine phosphoribosyltransferase
PALMKOPA_00287	CDS	hypothetical protein		
PALMKOPA_00288	CDS	ldhA	1.1.1.28	D-lactate dehydrogenase
PALMKOPA_00289	CDS	mhpD_1	4.2.1.80	2-keto-4-pentenoate hydratase
PALMKOPA_00290	CDS	adhR	HTH-type transcriptional regulator AdhR	
PALMKOPA_00291	CDS	ywrO_1	1.6.99.-	General stress protein 14
PALMKOPA_00292	CDS	hypothetical protein		
PALMKOPA_00293	CDS	hypothetical protein		
PALMKOPA_00294	CDS	hypothetical protein		
PALMKOPA_00295	CDS	xre	HTH-type transcriptional regulator Xre	
PALMKOPA_00296	CDS	gldA	1.1.1.6	Glycerol dehydrogenase
PALMKOPA_00297	CDS	lvr_1	1.1.1.-	Levodione reductase
PALMKOPA_00298	CDS	2.3.1.-	Putative acetyltransferase	
PALMKOPA_00299	CDS	hypothetical protein		
PALMKOPA_00300	CDS	hypothetical protein		
PALMKOPA_00301	CDS	glpE	2.8.1.1	Thiosulfate sulfurtransferase GlpE
PALMKOPA_00302	CDS	glcK	2.7.1.2	Glucokinase
PALMKOPA_00303	CDS	hypothetical protein		
PALMKOPA_00304	CDS	gluP	3.4.21.105	Rhomboid protease GluP
PALMKOPA_00305	CDS	6.3.3.2	5-formyltetrahydrofolate cyclo-ligase	
PALMKOPA_00306	CDS	rpmGA_1	50S ribosomal protein L33 1	
PALMKOPA_00307	CDS	penA	Penicillin-binding protein 2B	
PALMKOPA_00308	CDS	hypothetical protein		
PALMKOPA_00309	CDS	greA_1	Transcription elongation factor GreA	
PALMKOPA_00310	CDS	udk	2.7.1.48	Uridine kinase
PALMKOPA_00311	CDS	pheT_1	6.1.1.20	Phenylalanine--tRNA ligase beta subunit
PALMKOPA_00312	CDS	pheS	6.1.1.20	Phenylalanine--tRNA ligase alpha subunit
PALMKOPA_00313	CDS	yodB	HTH-type transcriptional regulator YodB	
PALMKOPA_00314	CDS	hypothetical protein		
PALMKOPA_00315	CDS	2.1.1.-	Putative TrmH family tRNA/rRNA methyltransferase	
PALMKOPA_00316	CDS	acyP	3.6.1.7	Acylphosphatase
PALMKOPA_00317	CDS	misCB	Membrane protein insertase MisCB	
PALMKOPA_00318	CDS	def_2	3.5.1.88	Peptide deformylase
PALMKOPA_00319	CDS	mepA_1	Multidrug export protein MepA	
PALMKOPA_00320	CDS	arlS	2.7.13.3	Signal transduction histidine-protein kinase ArlS
PALMKOPA_00321	CDS	arlR	Response regulator ArlR	
PALMKOPA_00322	CDS	rpmF	50S ribosomal protein L32	
PALMKOPA_00323	CDS	hypothetical protein		
PALMKOPA_00324	CDS	hypothetical protein		
PALMKOPA_00325	CDS	tylM1	2.1.1.235	"dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase"
PALMKOPA_00326	CDS	rsfS	Ribosomal silencing factor RsfS	
PALMKOPA_00327	CDS	hypothetical protein		
PALMKOPA_00328	CDS	nadD	2.7.7.18	Nicotinate-nucleotide adenylyltransferase
PALMKOPA_00329	CDS	RNA-binding protein		
PALMKOPA_00330	CDS	der_1	GTPase Der	
PALMKOPA_00331	CDS	gph	3.1.3.18	Phosphoglycolate phosphatase
PALMKOPA_00332	CDS	hypothetical protein		
PALMKOPA_00333	CDS	hypothetical protein		
PALMKOPA_00334	CDS	rplT	50S ribosomal protein L20	
PALMKOPA_00335	CDS	rpmI	50S ribosomal protein L35	
PALMKOPA_00336	CDS	infC	Translation initiation factor IF-3	
PALMKOPA_00337	CDS	dnaI	Primosomal protein DnaI	
PALMKOPA_00338	CDS	dnaB	Replication initiation and membrane attachment protein	
PALMKOPA_00339	CDS	nrdR	Transcriptional repressor NrdR	
PALMKOPA_00340	CDS	coaE	2.7.1.24	Dephospho-CoA kinase
PALMKOPA_00341	CDS	mutM	3.2.2.23	Formamidopyrimidine-DNA glycosylase
PALMKOPA_00342	CDS	polA	2.7.7.7	DNA polymerase I
PALMKOPA_00343	CDS	menH_1	4.2.99.20	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
PALMKOPA_00344	CDS	ybhL	Inner membrane protein YbhL	
PALMKOPA_00345	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
PALMKOPA_00346	CDS	pheT_2	6.1.1.20	Phenylalanine--tRNA ligase beta subunit
PALMKOPA_00347	CDS	ytpP	Thioredoxin-like protein YtpP	
PALMKOPA_00348	CDS	hypothetical protein		
PALMKOPA_00349	CDS	trmB	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
PALMKOPA_00350	CDS	hypothetical protein		
PALMKOPA_00351	CDS	ecsA	ABC-type transporter ATP-binding protein EcsA	
PALMKOPA_00352	CDS	3.9.1.-	Purine nucleoside phosphoramidase	
PALMKOPA_00353	CDS	hypothetical protein		
PALMKOPA_00354	CDS	prsA	5.2.1.8	Foldase protein PrsA
PALMKOPA_00355	CDS	yhaM	3.1.-.-	3'-5' exoribonuclease YhaM
PALMKOPA_00356	CDS	hypothetical protein		
PALMKOPA_00357	CDS	pbpF	Penicillin-binding protein 1F	
PALMKOPA_00358	CDS	5.1.1.21	Isoleucine 2-epimerase	
PALMKOPA_00359	CDS	yhdG_2	putative amino acid permease YhdG	
PALMKOPA_00360	CDS	hypothetical protein		
PALMKOPA_00361	CDS	hypothetical protein		
PALMKOPA_00362	CDS	3.1.-.-	Putative esterase	
PALMKOPA_00363	CDS	hypothetical protein		
PALMKOPA_00364	CDS	argH	4.3.2.1	Argininosuccinate lyase
PALMKOPA_00365	CDS	argG	6.3.4.5	Argininosuccinate synthase
PALMKOPA_00366	CDS	hypothetical protein		
PALMKOPA_00367	CDS	hypothetical protein		
PALMKOPA_00368	CDS	putative ABC transporter ATP-binding protein		
PALMKOPA_00369	CDS	hypothetical protein		
PALMKOPA_00370	CDS	macB	3.6.3.-	Macrolide export ATP-binding/permease protein MacB
PALMKOPA_00371	CDS	kstR2	HTH-type transcriptional repressor KstR2	
PALMKOPA_00372	CDS	dxs_1	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
PALMKOPA_00373	CDS	hypothetical protein		
PALMKOPA_00374	CDS	arg	3.5.3.1	Arginase
PALMKOPA_00375	CDS	hypothetical protein		
PALMKOPA_00376	CDS	1.13.12.16	Nitronate monooxygenase	
PALMKOPA_00377	CDS	arsR	Arsenical resistance operon repressor	
PALMKOPA_00378	CDS	hypothetical protein		
PALMKOPA_00379	CDS	hypothetical protein		
PALMKOPA_00380	CDS	pacL	3.6.3.8	Calcium-transporting ATPase
PALMKOPA_00381	CDS	norB	1.7.2.5	Nitric oxide reductase subunit B
PALMKOPA_00382	CDS	guaA	6.3.5.2	GMP synthase [glutamine-hydrolyzing]
PALMKOPA_00383	CDS	yjbM_1	2.7.6.5	GTP pyrophosphokinase YjbM
PALMKOPA_00384	CDS	mprA	Response regulator MprA	
PALMKOPA_00385	CDS	tcrY	2.7.13.3	putative sensor histidine kinase TcrY
PALMKOPA_00386	CDS	coaA	2.7.1.33	Pantothenate kinase
PALMKOPA_00387	CDS	hypothetical protein		
PALMKOPA_00388	CDS	bacC_1	1.1.1.385	Dihydroanticapsin 7-dehydrogenase
PALMKOPA_00389	CDS	ltaS1_1	Lipoteichoic acid synthase 1	
PALMKOPA_00390	CDS	hypothetical protein		
PALMKOPA_00391	CDS	helD_1	3.6.4.12	DNA helicase IV
PALMKOPA_00392	CDS	putative membrane protein		
PALMKOPA_00393	CDS	gpmA_1	5.4.2.11	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
PALMKOPA_00394	CDS	hflX	GTPase HflX	
PALMKOPA_00395	CDS	menC	4.2.1.113	o-succinylbenzoate synthase
PALMKOPA_00396	CDS	pnuC	Nicotinamide riboside transporter PnuC	
PALMKOPA_00397	CDS	yveA	Aspartate-proton symporter	
PALMKOPA_00398	CDS	ytmI	2.3.1.-	putative N-acetyltransferase YtmI
PALMKOPA_00399	CDS	yxeM	putative amino-acid-binding protein YxeM	
PALMKOPA_00400	CDS	hypothetical protein		
